Date,Status,Action,Message,Connection,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:53,INFO,update_queued,"Post ""1.9.2.9"" update queued for Spoke 2",Spoke 2,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""rFtVUfPfmsK4zH9rWr2xED8240AgSUoU"",""status"":""processing""},""async"":true,""job_id"":""rFtVUfPfmsK4zH9rWr2xED8240AgSUoU""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:52,INFO,wake_up,Spoke site is already awake,Spoke 2,"{""connection_name"":""Spoke 2"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:51,INFO,update_queued,"Post ""1.9.2.9"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""TtE5ii1Ookt3vP8y9oZ4s5QZMh93CzWU"",""status"":""processing""},""async"":true,""job_id"":""TtE5ii1Ookt3vP8y9oZ4s5QZMh93CzWU""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:51,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:51,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:51,INFO,,Custom Smart Links processing started for: Spoke 2,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:51,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,Spoke 2,"{""connection_name"":""Spoke 2"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:51,INFO,wake_up,Attempting to wake up spoke site,Spoke 2,"{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,Spoke 2,"{""connection_name"":""Spoke 2"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,wake_up,Attempting to wake up spoke site,Spoke 2,"{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,wake_up,Spoke site is already awake,Spoke 2,"{""connection_name"":""Spoke 2"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,update_queued,"Post ""1.9.2.9"" update queued for Spoke 2",Spoke 2,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""OSuNW2sdYlMKyCMs6EoVVzvSqAbBKqyu"",""status"":""processing""},""async"":true,""job_id"":""OSuNW2sdYlMKyCMs6EoVVzvSqAbBKqyu""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,,Custom Smart Links processing started for: hub20spokesite,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,wake_up,Attempting to wake up spoke site,hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:50,INFO,wake_up,Spoke site is already awake,hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,,Custom Smart Links processing started for: hub20spokesite,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,wake_up,Attempting to wake up spoke site,hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,wake_up,Spoke site is already awake,hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,update_queued,"Post ""1.9.2.9"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post update queued for processing"",""job_id"":""JD398df0EnpQ7QDyR8YN004IErslrd5M"",""status"":""processing""},""async"":true,""job_id"":""JD398df0EnpQ7QDyR8YN004IErslrd5M""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:49,INFO,,Custom Smart Links processing started for: Spoke 2,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:43,INFO,update_queued,"Post ""1.9.2.9"" update queued for Spoke 2",Spoke 2,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""cpV7jA0wtj65nhGm2vOdLebh9qmjWh7O"",""status"":""processing""},""async"":true,""job_id"":""cpV7jA0wtj65nhGm2vOdLebh9qmjWh7O""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,update_queued,"Post ""1.9.2.9"" update queued for hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""MTy7TZNwoRWF33CyvDIoLFoY5OFtyfMo"",""status"":""processing""},""async"":true,""job_id"":""MTy7TZNwoRWF33CyvDIoLFoY5OFtyfMo""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,,Custom Smart Links processing started for: Spoke 2,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,Spoke 2,"{""connection_name"":""Spoke 2"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,wake_up,Attempting to wake up spoke site,Spoke 2,"{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:42,INFO,wake_up,Spoke site is already awake,Spoke 2,"{""connection_name"":""Spoke 2"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,syndicate_queued,"Post ""1.9.2.9"" queued for syndication to Spoke 2",Spoke 2,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""ZWYTpmj14B4uUqYwMUhhE4O9iPPsbBBi"",""status"":""processing""},""async"":true,""job_id"":""ZWYTpmj14B4uUqYwMUhhE4O9iPPsbBBi""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,update,"Syncing updates for post ""1.9.2.9"" to 2 existing spoke sites",-,"{""spoke_ids"":[1,6]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,,Custom Smart Links processing started for: hub20spokesite,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,wake_up,Attempting to wake up spoke site,hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:41,INFO,wake_up,Spoke site is already awake,hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,wake_up,Spoke site is already awake,hub20spokesite,"{""connection_name"":""hub20spokesite"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,syndicate_queued,"Post ""1.9.2.9"" queued for syndication to hub20spokesite",hub20spokesite,"{""success"":true,""message"":""Post queued for processing"",""data"":{""success"":true,""message"":""Post queued for processing"",""job_id"":""Xde9tew6X6TFtw12hbZFQZUcT25HnLWU"",""status"":""processing""},""async"":true,""job_id"":""Xde9tew6X6TFtw12hbZFQZUcT25HnLWU""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,,Custom Smart Links processing started for: Spoke 2,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,Spoke 2,"{""connection_name"":""Spoke 2"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,wake_up,Attempting to wake up spoke site,Spoke 2,"{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,wake_up,Spoke site is already awake,Spoke 2,"{""connection_name"":""Spoke 2"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,,Custom Smart Links processing started for: hub20spokesite,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,wake_up,Attempting to wake up spoke site,hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,status_transition,Status transition: draft → publish,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,first_publish,Triggering syndication for first publish (draft → publish),-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,status_transition,Status transition: draft → publish,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,first_publish,Triggering syndication for first publish (draft → publish),-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:10,INFO,status_transition,Status transition: auto-draft → draft,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:10,INFO,status_transition,Status transition: auto-draft → draft,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:02,INFO,status_transition,Status transition: new → auto-draft,-,"{""post_id"":46636,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:02,INFO,status_transition,Status transition: new → auto-draft,-,"{""post_id"":46636,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,